"FileName","FullPath","RootCategory","ProbableRole","SizeBytes","LastWrite"
"CommandLine.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\CommandLine.dll","client","unknown","211904","2026-03-04 23:57"
"CrashUploader.Base.Azure.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\CrashUploader.Base.Azure.dll","client","unknown","15808","2026-03-04 23:57"
"CrashUploader.Base.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\CrashUploader.Base.dll","client","unknown","18880","2026-03-04 23:57"
"CrashUploader.Base.UI.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\CrashUploader.Base.UI.dll","client","unknown","339392","2026-03-04 23:57"
"DotNetZip.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\DotNetZip.dll","client","unknown","465856","2026-03-04 23:57"
"Microsoft.Azure.KeyVault.Core.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\Microsoft.Azure.KeyVault.Core.dll","client","unknown","13760","2026-03-04 23:57"
"Microsoft.WindowsAzure.Storage.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\Microsoft.WindowsAzure.Storage.dll","client","unknown","1196992","2026-03-04 23:57"
"Newtonsoft.Json.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\CrashUploader.Publish\Newtonsoft.Json.dll","client","unknown","707008","2026-03-04 23:57"
"amd_ags_x64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\amd_ags_x64.dll","client","unknown","114624","2026-03-04 23:57"
"Bannerlord.BLSE.AppDomainManager.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Bannerlord.BLSE.AppDomainManager.dll","client","unknown","5632","2026-01-28 08:56"
"Bannerlord.BLSE.Shared.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Bannerlord.BLSE.Shared.dll","client","unknown","3515392","2026-01-28 08:56"
"d3dcompiler_47.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\d3dcompiler_47.dll","client","unknown","4480448","2026-03-04 23:57"
"dbgcore.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\dbgcore.dll","client","unknown","164800","2026-03-04 23:57"
"dbghelp.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\dbghelp.dll","client","unknown","1936320","2026-03-04 23:57"
"EOSSDK-Win64-Shipping.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\EOSSDK-Win64-Shipping.dll","client","unknown","18252736","2026-03-04 23:57"
"fmod_output_controller.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\fmod_output_controller.dll","client","unknown","101824","2026-03-04 23:57"
"Galaxy64.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\Galaxy64.dll","client","unknown","15281600","2026-03-04 23:57"
